step,train_acts_billions,train_loss
14082,0.05768,1.0509
14106,0.057778,1.0588
14129,0.057872,1.0686
14152,0.057967,1.0623
14176,0.058065,1.0653
14199,0.058159,1.0486
14222,0.058253,1.0623
14246,0.058352,1.0609
14269,0.058446,1.068
14292,0.05854,1.0652
14316,0.058638,1.0672
14340,0.058737,1.0778
14364,0.058835,1.0589
14388,0.058933,1.0597
14412,0.059032,1.0605
14436,0.05913,1.0684
14459,0.059224,1.0633
14482,0.059318,1.0621
14506,0.059417,1.058
14530,0.059515,1.0665
14554,0.059613,1.0598
14578,0.059711,1.0572
14601,0.059806,1.0643
14625,0.059904,1.0646
14648,0.059998,1.0658
14672,0.060097,1.0496
14696,0.060195,1.0526
14719,0.060289,1.059
14742,0.060383,1.0744
14765,0.060477,1.0467
14789,0.060576,1.0707
14813,0.060674,1.0625
14837,0.060772,1.0502
14861,0.060871,1.0677
14883,0.060961,1.0632
14907,0.061059,1.0618
14931,0.061157,1.0626
14954,0.061252,1.0597
14979,0.061354,1.0529
15003,0.061452,1.0717
15027,0.061551,1.0478
15051,0.061649,1.0622
15074,0.061743,1.0653
15099,0.061846,1.0695
15122,0.06194,1.06
15146,0.062038,1.0478
15171,0.06214,1.0527
15195,0.062239,1.0554
15219,0.062337,1.0608
15242,0.062431,1.0642
15266,0.06253,1.0508
15289,0.062624,1.045
15313,0.062722,1.048
15337,0.06282,1.0582
15360,0.062915,1.0582
15384,0.063013,1.0525
15407,0.063107,1.0453
15431,0.063205,1.0607
15455,0.063304,1.0463
15478,0.063398,1.0663
15501,0.063492,1.0553
15524,0.063586,1.0542
15548,0.063685,1.0591
15572,0.063783,1.056
15596,0.063881,1.0495
15619,0.063975,1.0479
15624,0.063996,1.0715
15642,0.06407,1.0637
15666,0.064168,1.0658
15689,0.064262,1.0508
15713,0.06436,1.0523
15738,0.064463,1.0495
15760,0.064553,1.0613
15783,0.064647,1.0529
15807,0.064745,1.0534
15830,0.06484,1.0538
15854,0.064938,1.053
15879,0.06504,1.0486
15901,0.06513,1.0564
15925,0.065229,1.0511
15949,0.065327,1.0504
15973,0.065425,1.0481
15996,0.06552,1.0634
16019,0.065614,1.0416
16043,0.065712,1.0593
16066,0.065806,1.0612
16091,0.065909,1.0588
16115,0.066007,1.0471
16138,0.066101,1.0466
16162,0.0662,1.0562
16186,0.066298,1.0592
16210,0.066396,1.048
16233,0.06649,1.0571
16257,0.066589,1.057
16280,0.066683,1.0518
16304,0.066781,1.0551
16328,0.066879,1.0468
16352,0.066978,1.0624
16376,0.067076,1.049
16398,0.067166,1.0483
16422,0.067265,1.0582
16446,0.067363,1.0429
16469,0.067457,1.0402
16493,0.067555,1.0357
16517,0.067654,1.0428
16541,0.067752,1.0491
16565,0.06785,1.0326
16588,0.067944,1.0488
16612,0.068043,1.0489
16635,0.068137,1.0628
16659,0.068235,1.0524
16683,0.068334,1.0505
16707,0.068432,1.0637
16730,0.068526,1.0577
16753,0.06862,1.0481
16777,0.068719,1.0486
16801,0.068817,1.0562
16826,0.068919,1.0444
16849,0.069014,1.0436
16874,0.069116,1.0491
16897,0.06921,1.05
16921,0.069308,1.0545
16945,0.069407,1.0459
16968,0.069501,1.0539
16991,0.069595,1.0583
17015,0.069693,1.0592
17039,0.069792,1.0427
17062,0.069886,1.045
17086,0.069984,1.0484
17109,0.070078,1.0549
17133,0.070177,1.0446
17157,0.070275,1.0404
17181,0.070373,1.0481
17204,0.070468,1.0432
17228,0.070566,1.042
17251,0.07066,1.0497
17275,0.070758,1.0517
17299,0.070857,1.0536
17323,0.070955,1.0497
17347,0.071053,1.0446
17369,0.071143,1.0456
17394,0.071246,1.0459
17417,0.07134,1.0469
17441,0.071438,1.05
17466,0.071541,1.0463
17488,0.071631,1.0569
17513,0.071733,1.0481
17535,0.071823,1.046
17560,0.071926,1.0416
17583,0.07202,1.039
17608,0.072122,1.0377
17632,0.072221,1.0354
17655,0.072315,1.054
17679,0.072413,1.0389
17701,0.072503,1.0416
17725,0.072602,1.041
17748,0.072696,1.0536
17772,0.072794,1.0509
17796,0.072892,1.0525
17820,0.072991,1.0463
17843,0.073085,1.0407
17867,0.073183,1.0471
17891,0.073282,1.0472
17916,0.073384,1.0414
17939,0.073478,1.0455
17962,0.073572,1.0456
17985,0.073667,1.0374
18008,0.073761,1.0477
18032,0.073859,1.049
18056,0.073957,1.0392
18079,0.074052,1.0491
18102,0.074146,1.0451
18126,0.074244,1.051
18150,0.074342,1.0457
18174,0.074441,1.0488
18197,0.074535,1.0457
18221,0.074633,1.0465
18245,0.074732,1.0368
18267,0.074822,1.0431
18292,0.074924,1.0515
18315,0.075018,1.0381
18339,0.075117,1.0429
18363,0.075215,1.0375
18386,0.075309,1.0408
18410,0.075407,1.0465
18433,0.075502,1.0495
18457,0.0756,1.04
18481,0.075698,1.0397
18505,0.075796,1.0397
18529,0.075895,1.0397
18551,0.075985,1.0448
18575,0.076083,1.0389
18599,0.076182,1.038
18622,0.076276,1.0491
18646,0.076374,1.0549
18669,0.076468,1.0505
18692,0.076562,1.0488
18716,0.076661,1.0402
18740,0.076759,1.0373
18762,0.076849,1.0525
18786,0.076947,1.0521
18810,0.077046,1.036
18834,0.077144,1.042
18858,0.077242,1.0372
18882,0.077341,1.0457
18906,0.077439,1.042
18929,0.077533,1.0311
18952,0.077627,1.0355
18976,0.077726,1.0305
19000,0.077824,1.0358
19023,0.077918,1.0425
19047,0.078017,1.0382
19071,0.078115,1.0395
19094,0.078209,1.0439
19117,0.078303,1.0467
19141,0.078402,1.0468
19164,0.078496,1.0365
19188,0.078594,1.0628
19212,0.078692,1.0314
19235,0.078787,1.0378
19258,0.078881,1.036
19281,0.078975,1.0293
19306,0.079077,1.0469
19329,0.079172,1.0357
19353,0.07927,1.0398
19377,0.079368,1.0502
19401,0.079466,1.0319
19424,0.079561,1.0425
19448,0.079659,1.0361
19471,0.079753,1.0369
19494,0.079847,1.0331
19517,0.079942,1.0502
19541,0.08004,1.0459
19565,0.080138,1.0353
19589,0.080237,1.0412
19613,0.080335,1.0323
19637,0.080433,1.0362
19661,0.080531,1.0364
19684,0.080626,1.0471
19708,0.080724,1.0384
19732,0.080822,1.0355
19756,0.080921,1.0305
19780,0.081019,1.0488
19804,0.081117,1.0388
19828,0.081215,1.0385
19851,0.08131,1.042
19874,0.081404,1.0434
19898,0.081502,1.038
19922,0.081601,1.0371
19946,0.081699,1.0388
19969,0.081793,1.0482
19993,0.081891,1.0325
20017,0.08199,1.0406
20041,0.082088,1.0412
20064,0.082182,1.0349
20087,0.082276,1.0365
20111,0.082375,1.0366
20135,0.082473,1.0388
20159,0.082571,1.0272
20181,0.082661,1.0325
20206,0.082764,1.0335
20229,0.082858,1.0316
20253,0.082956,1.0397
20277,0.083055,1.0346
20301,0.083153,1.029
20325,0.083251,1.0289
20349,0.08335,1.0415
20372,0.083444,1.0341
20397,0.083546,1.0324
20421,0.083644,1.0368
20445,0.083743,1.0365
20468,0.083837,1.0302
20491,0.083931,1.0288
20514,0.084025,1.0348
20537,0.08412,1.0277
20561,0.084218,1.0324
20585,0.084316,1.0331
20609,0.084414,1.0275
20632,0.084509,1.0236
20656,0.084607,1.036
20680,0.084705,1.0318
20704,0.084804,1.0318
20727,0.084898,1.0306
20750,0.084992,1.0325
20774,0.08509,1.0261
20798,0.085189,1.0385
20822,0.085287,1.0242
20846,0.085385,1.0343
20869,0.085479,1.0394
20893,0.085578,1.0298
20916,0.085672,1.0332
20940,0.08577,1.0332
20964,0.085869,1.0339
20988,0.085967,1.0306
21011,0.086061,1.0448
21035,0.086159,1.0322
21059,0.086258,1.0422
21083,0.086356,1.0365
21106,0.08645,1.0379
21130,0.086548,1.0283
21153,0.086643,1.0336
21177,0.086741,1.0255
21201,0.086839,1.0258
21225,0.086938,1.0323
21248,0.087032,1.0334
21272,0.08713,1.0329
21295,0.087224,1.0329
21319,0.087323,1.036
21344,0.087425,1.0366
21368,0.087523,1.0329
21391,0.087618,1.032
21415,0.087716,1.0382
21439,0.087814,1.0449
21463,0.087912,1.03
21487,0.088011,1.0356
21510,0.088105,1.0247
21533,0.088199,1.0302
21557,0.088297,1.0232
21579,0.088388,1.0266
21603,0.088486,1.0417
21626,0.08858,1.0314
21649,0.088674,1.0329
21673,0.088773,1.0316
21697,0.088871,1.0387
21721,0.088969,1.034
21744,0.089063,1.0429
21767,0.089158,1.0372
21791,0.089256,1.0322
21815,0.089354,1.0344
21839,0.089453,1.0274
21863,0.089551,1.0287
21885,0.089641,1.0324
21908,0.089735,1.0586
21931,0.089829,1.0304
21955,0.089928,1.03
21979,0.090026,1.0383
22003,0.090124,1.044
22026,0.090218,1.0213
22050,0.090317,1.0274
22073,0.090411,1.0265
22096,0.090505,1.0451
22120,0.090604,1.043
22143,0.090698,1.0363
22167,0.090796,1.0316
22190,0.09089,1.0233
22214,0.090989,1.0293
22237,0.091083,1.032
22261,0.091181,1.0392
22285,0.091279,1.0277
22309,0.091378,1.0366
22333,0.091476,1.0297
22356,0.09157,1.0329
22380,0.091668,1.0234
22403,0.091763,1.028
22427,0.091861,1.0275
22451,0.091959,1.019
22475,0.092058,1.0321
22499,0.092156,1.0287
22523,0.092254,1.034
22546,0.092348,1.0234
22570,0.092447,1.0217
22594,0.092545,1.0364
22618,0.092643,1.0405
22642,0.092742,1.0244
22665,0.092836,1.0236
22689,0.092934,1.0302
22713,0.093032,1.0136
22736,0.093127,1.0317
22760,0.093225,1.0263
22783,0.093319,1.0288
22807,0.093417,1.0272
22831,0.093516,1.0323
